 SYSTEM :            1
        z       Tref      rho    expan        Cp      Tcond
 LAYER:            1
  2.890000E+06  1.596165E+03  3.937441E+03  2.924956E-05  1.200000E+03  3.579492E+00
  2.874942E+06  1.601891E+03  3.948318E+03  2.893698E-05  1.200000E+03  3.599295E+00
  2.859079E+06  1.607881E+03  3.959717E+03  2.861476E-05  1.200000E+03  3.620108E+00
  2.842347E+06  1.614152E+03  3.971676E+03  2.828248E-05  1.200000E+03  3.642008E+00
  2.824677E+06  1.620724E+03  3.984234E+03  2.793976E-05  1.200000E+03  3.665076E+00
  2.805991E+06  1.627618E+03  3.997438E+03  2.758611E-05  1.200000E+03  3.689408E+00
  2.786213E+06  1.634853E+03  4.011328E+03  2.722129E-05  1.200000E+03  3.715093E+00
  2.765255E+06  1.642452E+03  4.025954E+03  2.684492E-05  1.200000E+03  3.742234E+00
  2.743030E+06  1.650437E+03  4.041363E+03  2.645679E-05  1.200000E+03  3.770934E+00
  2.719440E+06  1.658831E+03  4.057606E+03  2.605671E-05  1.200000E+03  3.801307E+00
  2.694395E+06  1.667653E+03  4.074728E+03  2.564471E-05  1.200000E+03  3.833456E+00
  2.667796E+06  1.676924E+03  4.092777E+03  2.522088E-05  1.200000E+03  3.867492E+00
  2.639551E+06  1.686661E+03  4.111795E+03  2.478555E-05  1.200000E+03  3.903518E+00
  2.609576E+06  1.696875E+03  4.131817E+03  2.433931E-05  1.200000E+03  3.941625E+00
  2.577787E+06  1.707578E+03  4.152872E+03  2.388285E-05  1.200000E+03  3.981901E+00
  2.544121E+06  1.718772E+03  4.174979E+03  2.341726E-05  1.200000E+03  4.024406E+00
  2.508531E+06  1.730452E+03  4.198139E+03  2.294386E-05  1.200000E+03  4.069180E+00
  2.470998E+06  1.742603E+03  4.222339E+03  2.246433E-05  1.200000E+03  4.116228E+00
  2.431514E+06  1.755209E+03  4.247556E+03  2.198039E-05  1.200000E+03  4.165541E+00
  2.390106E+06  1.768240E+03  4.273744E+03  2.149407E-05  1.200000E+03  4.217065E+00
  2.346835E+06  1.781656E+03  4.300839E+03  2.100760E-05  1.200000E+03  4.270706E+00
  2.301773E+06  1.795416E+03  4.328771E+03  2.052307E-05  1.200000E+03  4.326359E+00
  2.255029E+06  1.809470E+03  4.357450E+03  2.004270E-05  1.200000E+03  4.383873E+00
  2.206720E+06  1.823768E+03  4.386783E+03  1.956845E-05  1.200000E+03  4.443094E+00
  2.156983E+06  1.838256E+03  4.416670E+03  1.910220E-05  1.200000E+03  4.503842E+00
  2.105950E+06  1.852884E+03  4.447018E+03  1.864545E-05  1.200000E+03  4.565949E+00
  2.053777E+06  1.867600E+03  4.477723E+03  1.819962E-05  1.200000E+03  4.629220E+00
  2.000589E+06  1.882361E+03  4.508704E+03  1.776563E-05  1.200000E+03  4.693500E+00
  1.946525E+06  1.897126E+03  4.539875E+03  1.734428E-05  1.200000E+03  4.758621E+00
  1.891706E+06  1.911858E+03  4.571163E+03  1.693607E-05  1.200000E+03  4.824438E+00
  1.836242E+06  1.926528E+03  4.602505E+03  1.654126E-05  1.200000E+03  4.890821E+00
  1.780227E+06  1.941111E+03  4.633849E+03  1.615988E-05  1.200000E+03  4.957663E+00
  1.723754E+06  1.955584E+03  4.665145E+03  1.579193E-05  1.200000E+03  5.024855E+00
  1.666890E+06  1.969933E+03  4.696361E+03  1.543712E-05  1.200000E+03  5.092325E+00
  1.609706E+06  1.984145E+03  4.727461E+03  1.509520E-05  1.200000E+03  5.159994E+00
  1.552252E+06  1.998209E+03  4.758425E+03  1.476579E-05  1.200000E+03  5.227809E+00
  1.494577E+06  2.012118E+03  4.789232E+03  1.444846E-05  1.200000E+03  5.295719E+00
  1.436715E+06  2.025869E+03  4.819869E+03  1.414276E-05  1.200000E+03  5.363691E+00
  1.378710E+06  2.039456E+03  4.850321E+03  1.384827E-05  1.200000E+03  5.431680E+00
